00:12:48.306 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTING
00:12:48.317 [restartedMain] INFO  c.h.n.t.n.NonBlockingIOThreadingModel - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] TcpIpConnectionManager configured with Non Blocking IO-threading model: 3 input threads and 3 output threads
00:12:50.767 [restartedMain] INFO  c.h.cluster.impl.MulticastJoiner - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] 


Members [1] {
	Member [192.168.137.32]:5701 this
}

00:12:50.770 [restartedMain] INFO  com.hazelcast.core.LifecycleService - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Address[192.168.137.32]:5701 is STARTED
00:12:56.968 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
00:12:56.968 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.6
00:13:03.374 [localhost-startStop-1] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
00:13:03.396 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:13:03.979 [localhost-startStop-1] WARN  o.a.c.c.C.[Tomcat].[localhost].[/] - Cannot deserialize session attribute SPRING_SECURITY_CONTEXT for session 50C7CD5278D184FE21E49328884D08B8
00:13:15.403 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:13:15.411 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-8080]
00:13:15.414 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
00:13:15.440 [restartedMain] INFO  com.gadeksystems.banking.Application - Started Application in 43.95 seconds (JVM running for 371.743)
00:17:30.705 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
00:21:31.133 [hz.ShutdownThread] INFO  com.hazelcast.instance.Node - [192.168.137.32]:5701 [bootifulcluster] [3.6.7] Running shutdown hook... Current state: ACTIVE
00:22:46.699 [restartedMain] INFO  com.gadeksystems.banking.Application - Starting Application on DESKTOP-AAPORDU with PID 10496 (D:\Spring-Boot-Apps\United_Microfinance-Gad\target\classes started by Nyame Tease in D:\Spring-Boot-Apps\United_Microfinance-Gad)
00:22:46.711 [restartedMain] INFO  com.gadeksystems.banking.Application - The following profiles are active: app
00:22:47.114 [restartedMain] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1377b044: startup date [Tue Jan 03 00:22:47 PST 2017]; root of context hierarchy
00:22:47.521 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
00:22:57.237 [restartedMain] INFO  c.hazelcast.config.XmlConfigLocator - Loading 'hazelcast.xml' from classpath.
00:22:57.676 [restartedMain] WARN  c.h.config.AbstractXmlConfigHelper - Name of the hazelcast schema location incorrect using default
